cluster_region,metric,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,neural_yield,100,neural_yield ~ age_years,-0.06273107590995808,0.210109418290363,0.19801980198019803,0.001246542888976568
ACA,neural_yield,100,neural_yield ~ age_years,-0.22562863253527288,0.0012250174502267245,0.009900990099009901,0.004152452484642275
CP,neural_yield,100,neural_yield ~ age_years,-0.04299442581431757,0.5397759705073252,0.48514851485148514,-0.004013722410761904
LS,neural_yield,100,neural_yield ~ age_years,-0.2175188437169414,0.007119224674872306,0.009900990099009901,0.0026802231322196252
ACB,neural_yield,100,neural_yield ~ age_years,-0.2097035989885064,0.0685264855904099,0.0891089108910891,0.0029843883975359167
mPFC,neural_yield,100,neural_yield ~ age_years,-0.25014992825815835,0.018480049655626562,0.039603960396039604,-0.0037008411406867043
ORB,neural_yield,100,neural_yield ~ age_years,-0.23821759718555677,0.057595577760344324,0.0891089108910891,0.023547892112065223
OLF,neural_yield,100,neural_yield ~ age_years,-0.21050768290896213,0.02714893591187405,0.0594059405940594,0.012608983877725983
VISp+pm,neural_yield,100,neural_yield ~ age_years,0.10615089352568349,0.2572522283244333,0.22772277227722773,0.010813462048036761
SCm,neural_yield,100,neural_yield ~ age_years,-0.01550414333945676,0.8076601404593945,0.8217821782178217,0.005703342216592685
MBm,neural_yield,100,neural_yield ~ age_years,-0.01836850922299045,0.608783248406962,0.6534653465346535,-0.00017890891895097692
PPC,neural_yield,100,neural_yield ~ age_years,-0.13492993539599735,0.0010454589975718684,0.009900990099009901,0.005051348150238646
CA1,neural_yield,100,neural_yield ~ age_years,-0.058274356822770046,0.023623762490234835,0.019801980198019802,0.0032874820970637086
DG,neural_yield,100,neural_yield ~ age_years,-0.033376600442533384,0.08147942104220819,0.039603960396039604,-0.0004634217353762518
LP,neural_yield,100,neural_yield ~ age_years,-0.18156310250236254,0.019721035849443524,0.019801980198019802,-0.0026405764373139346
PO,neural_yield,100,neural_yield ~ age_years,-0.08581947086299013,0.5852700901523319,0.5445544554455446,-0.019859577170891346
